R:A::C:P,0,1,2 3,4 5 6
0,0.43243243243243246,0.25675675675675674,0.13513513513513514,0.17567567567567569
1,0.24146981627296588,0.2650918635170604,0.19160104986876642,0.30183727034120733
2 3,0.14854111405835543,0.16180371352785147,0.2917771883289125,0.3978779840848806
4 5 6,0.13214285714285715,0.09464285714285714,0.2732142857142857,0.5
