name,overall,average
Emphasis-Min-2500-Percentages,0.7195121951219512,0.7226751207729469
Emphasis-Min-2500-Counts,0.7073170731707317,0.7122584541062803
Emphasis-Min-1000-Counts,0.6984732824427481,0.7019642516599921
Min-2500-Percentages,0.6951219512195121,0.7018417874396136
No-Others-Counts,0.6931818181818182,0.6873266379722621
Min-1000-Counts,0.6908396946564885,0.69201730205787
Min-2500-Counts,0.6829268292682927,0.6894961084272678
Emphasis-Vowels-Only-Min-2500-Counts,0.6829268292682927,0.6935721953837897
Emphasis-Vowels-Only-Min-2500-Percentages,0.6829268292682927,0.6935721953837897
No-Others-Percentages,0.6818181818181818,0.6961900207237366
Emphasis-No-Others-Counts,0.6818181818181818,0.6762155268611508
Emphasis-Min-1000-Percentages,0.6793893129770993,0.6826251278583936
Emphasis-Min-500-Counts,0.6717557251908397,0.6664267403263258
Min-1000-Percentages,0.6679389312977099,0.6705760995821848
Emphasis-Min-500-Percentages,0.6666666666666666,0.6629414774527679
Min-500-Counts,0.6641221374045801,0.6591851205410711
Emphasis-Vowels-Only-No-Others-Counts,0.6590909090909091,0.6654710664753706
Vowels-Only-Min-2500-Percentages,0.6585365853658537,0.6645866881374127
Min-500-Percentages,0.648854961832061,0.6473657451417351
Emphasis-Vowels-Only-Min-1000-Counts,0.648854961832061,0.652922972902689
Emphasis-Min-250-Counts,0.6486486486486487,0.6448529572192903
Emphasis-Vowels-Only-No-Others-Percentages,0.6477272727272727,0.6658377172007014
Vowels-Only-Min-2500-Counts,0.6463414634146342,0.6522410091250671
Emphasis-Vowels-Only-Min-500-Counts,0.6412213740458015,0.6288920662625255
Emphasis-No-Others-Percentages,0.6363636363636364,0.6547266060895903
Vowels-Only-No-Others-Counts,0.6363636363636364,0.6147776183644189
Min-250-Counts,0.6270270270270271,0.6207514038417871
Min-250-Percentages,0.6270270270270271,0.6234816461507919
Emphasis-Vowels-Only-Min-500-Percentages,0.6259541984732825,0.6171360002493416
Vowels-Only-Min-1000-Percentages,0.6259541984732825,0.6169969313985542
Emphasis-Min-250-Percentages,0.6234234234234234,0.6190339586008423
Vowels-Only-Min-1000-Counts,0.6221374045801527,0.6128664551585444
Emphasis-Vowels-Only-Min-1000-Percentages,0.6221374045801527,0.6264367816091955
Vowels-Only-Min-500-Counts,0.6157760814249363,0.5953627660292873
Vowels-Only-No-Others-Percentages,0.6136363636363636,0.6240076518412243
Vowels-Only-Min-500-Percentages,0.6030534351145038,0.5904135953497794
Emphasis-Min-100-Counts,0.5973397823458283,0.5981922902466982
Emphasis-Min-100-Percentages,0.5937122128174124,0.5947440901382338
Min-100-Percentages,0.5888754534461911,0.5901157627471766
Emphasis-Vowels-Only-Min-250-Counts,0.5873873873873874,0.5760494503555699
Min-100-Counts,0.5864570737605804,0.5874589567506349
Emphasis-Vowels-Only-Min-250-Percentages,0.581981981981982,0.5717623557875292
Vowels-Only-Min-250-Percentages,0.5675675675675675,0.5589587691929759
Vowels-Only-Min-250-Counts,0.5513513513513514,0.5372877671622638
Emphasis-Vowels-Only-Min-100-Counts,0.5489721886336155,0.5487431527179087
All-Counts,0.5444670739986422,0.541345815608266
Emphasis-All-Counts,0.5417515274949084,0.5398537203503823
All-Percentages,0.5295315682281059,0.5297002868818098
Emphasis-All-Percentages,0.528173794976239,0.5259307938643016
Emphasis-Vowels-Only-Min-100-Percentages,0.5199516324062878,0.5204964852959835
Vowels-Only-Min-100-Percentages,0.5187424425634825,0.5189505027614079
Vowels-Only-Min-100-Counts,0.5187424425634825,0.5184682477222949
Emphasis-Vowels-Only-All-Counts,0.5084860828241684,0.5053954148121417
Vowels-Only-All-Counts,0.48336727766463,0.4793108594060416
Vowels-Only-All-Percentages,0.4596062457569586,0.45956880242336756
Emphasis-Vowels-Only-All-Percentages,0.44059742023082143,0.43464806400344114
